NCMs;CFOPs;Descrição;Monofásico?;Data
 3922-20-00;5405.0;ASSENTO SANITARIO BRANCO   KRONA;Não;2020-01-16 00:00:00
 3923-21-10;5102.0;BOBINA PICOTADA 40 X 60 (10kl) HIPER-ROLL;Não;2020-01-30 00:00:00
 3923-30-00;5405.0;GARRAFAO TERMICO 5LTS  AZUL   ALADDIN;Não;2020-01-07 00:00:00
 3924-10-00;5405.0;FUNIL PLASTICO;Não;2020-01-15 00:00:00
 3924-90-00;5102.0;BACIA PLASTICA GRANDE 15 LT;Não;2020-01-10 00:00:00
 3925-90-90;5405.0;CAIXA MASSA ALVENARIA PTA PLASTICA;Não;2020-01-09 00:00:00
 3925-90-90;5405.0;BUCHA FIXAÇAO S/06;Não;2020-01-13 00:00:00
 3925-90-90;5405.0;BUCHA FIXAÇAO S/08;Não;2020-01-23 00:00:00
 3925-90-90;5405.0;BUCHA FIXAÇAO S/10;Não;2020-01-25 00:00:00
 3925-90-90;5405.0;ESPAÇADORES REVESTIMENTO 05mm;Não;2020-01-27 00:00:00
 3925-90-90;5102.0;CAIXA LUZ 4 X 2;Não;2020-01-27 00:00:00
 3926-90-90;5102.0;MAMADEIRA P/DESMAME BEZERRO 2 LTS SGAMAQ;Não;2020-01-02 00:00:00
 3926-90-90;5405.0;DESEMPENADEIRA PLAST AZL 18X30;Não;2020-01-09 00:00:00
 3926-90-90;5405.0;BANDEJA PINTURA 29X35 PTA;Não;2020-01-10 00:00:00
 3926-90-90;5102.0;FLOREIRA PRETA C/BASE FC-40;Não;2020-01-11 00:00:00
 3926-90-90;5102.0;PROTETOR AUDITIVO DE COPOLIMERO 3M;Não;2020-01-14 00:00:00
 3926-90-90;5102.0;BEBEDOURO PLASTICO C/ROSCA 4,8 LTS;Não;2020-01-14 00:00:00
 3926-90-90;5102.0;ABRAÇADEIRA NYLON 3,6 x 150mm;Não;2020-01-15 00:00:00
 3926-90-90;5102.0;BANDEJA CAÇAMBA CONDOR REF 999;Não;2020-01-17 00:00:00
 3926-90-90;5405.0;COMEDOURO 01 FURO CRIST. C/GANCHO  ALVORADA;Não;2020-01-18 00:00:00
 3926-90-90;5405.0;BEBEDOURO PASSARO MEDIO 110 ml  ALVORADA;Não;2020-01-18 00:00:00
 3926-90-90;5405.0;BANHEIRA PASSARO GRANDE CRISTAL  ALVORADA;Não;2020-01-27 00:00:00
 3926-90-90;5102.0;ABRAÇADEIRA NYLON 3.5 X 280 mm BCA;Não;2020-01-28 00:00:00
 4008-21-00;5405.0;ESTOJO VIPAL EV-01;Não;2020-01-31 00:00:00
 4009-11-00;5102.0;MANGUEIRA COMB. LONADA 5/16X2,0;Não;2020-01-16 00:00:00
 4010-39-00;5102.0;CORREIA V B-75;Não;2020-01-09 00:00:00
 4011-50-00;5102.0;PNEU 20X1.75 K50, PTO;Sim;2020-01-09 00:00:00
 4011-50-00;5405.0;PNEU BICICLETA 24x1,75 SLICK;Sim;2020-01-21 00:00:00
 4013-20-00;5405.0;CAMARA AR BICICLETA  26X1.9/2.125 BALAO KENDA;Sim;2020-01-03 00:00:00
 4013-20-00;5102.0;CAMARA PR-29 VALVULA PRESTA 48 MM;Sim;2020-01-06 00:00:00
 4013-20-00;5102.0;CAMARA AR BICICLETA  24 X 1.75   KENDA;Sim;2020-01-08 00:00:00
 4013-20-00;5405.0;CAMARA AR BICICLETA  20X1.75   KENDA;Sim;2020-01-09 00:00:00
 4013-90-00;5102.0;CAMARA AR CARRINHO MAO 3,25 X 8´´;Sim;2020-01-18 00:00:00
 4016-93-00;5405.0;BUCHA VEDANTE 1/2  PLASTICA  (CARRAPETA);Não;2020-01-20 00:00:00
 4201-00-10;5405.0;COLEIRA COURO FORRADA N.05;Não;2020-01-15 00:00:00
 4201-00-10;5102.0;COLEIRA COURO FORRADA N. 9;Não;2020-01-15 00:00:00
 4201-00-10;5405.0;COLEIRA COURO FORRADA N.03;Não;2020-01-18 00:00:00
 4201-00-10;5405.0;COLEIRA COURO FORRADA N.07;Não;2020-01-18 00:00:00
 4201-00-10;5405.0;COLEIRA COURO FORRADA N.01;Não;2020-01-24 00:00:00
 4203-30-00;5102.0;CINTO 10641;Não;2020-01-17 00:00:00
 4421-90-00;5405.0;GAIOLA CRIADEIRA P/PASSAROS;Não;2020-01-21 00:00:00
